Accordion Text,Product Name,Product Link,Cultivos Clave
FUNGICIDAS (29),ALCOR,https://www.upl-ltd.com/es/Productos/alcor,"Berenjena, Brécol, Coles de Bruselas, Coliflor, Espinacas y similares, Fresal, Lechuga y similares, Naranjo, Patata, Pimiento, Pomelo, Repollo, Tomate, Toronja, Vid"
FUNGICIDAS (29),ATTENZO® STAR,https://www.upl-ltd.com/es/Productos/attenzo-star,"Arbustos y pequeños árboles ornamentales, Berenjena, Champiñones, Cucurbitáceas, Ornamentales herbáceas, Pimiento, Tomate, Vid, Viveros"
FUNGICIDAS (29),CONSIST®,https://www.upl-ltd.com/es/Productos/consist,"Albaricoquero, Arroz, Calabacín, Fresal, Manzano, Melocotón, Melón, Olivo, Pepino, Peral, Pimiento, Tomate, Vid"
FUNGICIDAS (29),CORE®,https://www.upl-ltd.com/es/Productos/core,"Ajo, Apio, Clavel, Espárrago, Lechuga, Manzano, Níspero, Níspero del Japón, Olivo, Patata, Peral, Remolacha azucarera, Tomate"
FUNGICIDAS (29),CUPROFIX® C DISPERSS,https://www.upl-ltd.com/es/Productos/cuprofix-c-disperss,"Patata, Tomate"
FUNGICIDAS (29),FOLDER® 80 WG,https://www.upl-ltd.com/es/Productos/folder-80-wg,Vid
FUNGICIDAS (29),MALVIN® 80 WG,https://www.upl-ltd.com/es/Productos/malvin-80-wg,"Albaricoquero, Cerezo, Ciruelo, Fresal, Manzano, Melocotón, Peral, Tomate"
FUNGICIDAS (29),MANDATORIO,https://www.upl-ltd.com/es/Productos/mandatorio-fungicida-upl,Vid
FUNGICIDAS (29),METIX®,https://www.upl-ltd.com/es/Productos/metix,Vid
FUNGICIDAS (29),MICROTHIOL® SPECIAL DISPERSS,https://www.upl-ltd.com/es/Productos/microthiol-special-disperss,"Acelgas, Achicoria, Ajo tierno, Alcachofa, Almendro, Apio, Arbustos y pequeños árboles ornamentales, Avellano, Berenjena, Berro, Borraja, Brotes tiernos, Bulbos hortícolas, Canónigos, Cardo, Castaño, Cereales de primavera e invierno, Coles, Cucurbitáceas, Diente de león, Endibia, Escarola, Espárrago, Espinacas, Fresal, Frutales de hueso, Frutales de pepita, Guisantes, Haba, Higuera, Hinojo, Hortalizas de bulbo, Hortalizas del género brassica, Judías, Lechuga, Lúpulo, Nogal, Nuez de pecán, Olivo, Otras hortícolas de raíz, Pino, Pistacho, Plantaciones tropicales/subtropicales, Puerro, Raíces y tubérculos (excepto remolacha azucarera y patata), Remolacha azucarera, Remolacha de mesa, Remolacha forrajera, Rúcula, Tomate, Verdolaga, Vid"
FUNGICIDAS (29),NOVICURE®,https://www.upl-ltd.com/es/Productos/novicure-1,"Ajo, Alcachofa, Arbustos y pequeños árboles ornamentales, Berenjena, Brécol, Cebolla, Cerezo, Chalotas, Ciruelo, Coliflor, Coníferas, Cucurbitáceas de piel comestible y piel no comestible, Frondosas, Frutales de hueso, Guisantes verdes, Habas verdes, Judías verdes, Lechuga y similares, Melón, Nogal, Olivo, Ornamentales leñosas, Palmáceas, Palmera datilera, Patata, Pepino, Sandía, Tomate, Vid vinificación"
FUNGICIDAS (29),OPTIX® DISPERSS,https://www.upl-ltd.com/es/Productos/optix-disperss,"Cítricos, Vid"
FUNGICIDAS (29),PROPLANT®,https://www.upl-ltd.com/es/Productos/proplant,"Berenjena, Calabacín, Lechuga, Melón, Pepino, Pimiento, Sandía, Semilleros de hortícolas, Suelos de semilleros hortícolas, Suelos de semilleros sin planta, Tomate"
FUNGICIDAS (29),PROTIOSTAR®,https://www.upl-ltd.com/es/Productos/protiostar,"Cebada, Trigo, Triticale"
FUNGICIDAS (29),PROXANIL®,https://www.upl-ltd.com/es/Productos/proxanil,"Batata, Boniato, Ñame, Patata, Tomate"
FUNGICIDAS (29),PYRUS®,https://www.upl-ltd.com/es/Productos/pyrus-400-sc,"Berenjena, Lechuga, Tomate"
FUNGICIDAS (29),REMOCCO,https://www.upl-ltd.com/es/Productos/remocco,"Cebada, Colza, Trigo"
FUNGICIDAS (29),RSR® DISPERSS,https://www.upl-ltd.com/es/Productos/caldo-bordeles-rsr-disperss,"Alcachofa, Avellano, Berenjena, Brécol, Calabacín, Castaño, Cebolla, Cerezo, Ciruelo, Cítricos, Coliflor, Escarola, Fresal, Judías verdes, Lechuga, Manzano, Melón, Membrillero, Nashi, Nogal, Olivo, Ornamentales leñosas, Patata, Pepino, Peral, Pimiento, Remolacha, Tomate, Vid, Zanahoria"
FUNGICIDAS (29),SACRON® WG,https://www.upl-ltd.com/es/Productos/sacron-wg,"Patata, Tomate, Vid"
FUNGICIDAS (29),SPIROX® 500 EC,https://www.upl-ltd.com/es/Productos/spirox-500-ec,"Vid, Vid vinificación"
FUNGICIDAS (29),SYLLIT® MAX,https://www.upl-ltd.com/es/Productos/syllit-max,"Almendro, Cerezo, Cítricos, Frutales de pepita, Manzano, Melocotón, Membrillero, Nectarina, Níspero, Olivo, Peral"
FUNGICIDAS (29),THIOPRON® 825,https://www.upl-ltd.com/es/Productos/thiopron-1,"Arbustos ornamentales, Arroz, Cereales, Coles, Cucurbitáceas, Espinacas, Frutales de hueso, Frutales de pepita, Frutas subtropicales/tropicales, Guisantes, Hortalizas de bulbo, Judías, Lechuga, Lúpulo, Olivo, Raíces hortícolas, Remolacha azucarera, Tomate, Vid"
FUNGICIDAS (29),THODERM G®,https://www.upl-ltd.com/es/Productos/thoderm-g-1,"Apio, Árboles y arbustos frutales, Arbustos y pequeños árboles ornamentales, Berza, Cebolla, Col, Coliflor, Coníferas, Especias, Fresal, Frondosas, Haba forrajera, Habas para grano, Hortícolas, Judía forrajera, Judías para grano, Locales y almacenes, Melón, Nabo, Ornamentales herbáceas, Té y otras infusiones"
FUNGICIDAS (29),THODERM P®,https://www.upl-ltd.com/es/Productos/thoderm-p-1,"Apio, Árboles y arbustos frutales, Arbustos y pequeños árboles ornamentales, Berza, Cebolla, Col, Coliflor, Coníferas, Especias, Fresal, Frondosas, Haba forrajera, Habas para grano, Hortícolas, Judía forrajera, Judías para grano, Lechuga, Locales y almacenes, Melón, Nabo, Ornamentales herbáceas, Palmáceas, Palmera datilera, Pepino, Pimiento, Puerro, Té y otras infusiones, Tomate, Zanahoria"
FUNGICIDAS (29),VACCIPLANT® MAX,https://www.upl-ltd.com/es/Productos/vacciplant-max-1,"Berenjena, Calabacín, Fresal, Judías verdes, Lechuga, Manzano, Membrillero, Pepino, Peral, Pimiento, Tomate, Vid"
FUNGICIDAS (29),YUKON®,https://www.upl-ltd.com/es/Productos/yukon-1,"Remolacha azucarera, Remolacha de mesa, Vid"
FUNGICIDAS (29),ZOXIS 250® SC,https://www.upl-ltd.com/es/Productos/zoxis-250-sc,"Ajo, Alcachofa, Arroz, Berenjena, Brécol, Calabacín, Calabaza, Cebada, Cebolla, Espárrago, Fresal, Guisante proteaginoso, Guisantes, Judías, Judías verdes, Melón, Pepino, Pimiento, Sandía, Tomate, Trigo, Triticale, Zanahoria"
REGULADORES DE CRECIMIENTO (7),ALCOR,https://www.upl-ltd.com/es/Productos/alcor,"Berenjena, Brécol, Coles de Bruselas, Coliflor, Espinacas y similares, Fresal, Lechuga y similares, Naranjo, Patata, Pimiento, Pomelo, Repollo, Tomate, Toronja, Vid"
REGULADORES DE CRECIMIENTO (7),ARGOS,https://www.upl-ltd.com/es/Productos/Argos,Patata
REGULADORES DE CRECIMIENTO (7),ATONIK®,https://www.upl-ltd.com/es/Productos/atonik,"Arroz, Berenjena (aire libre e invernadero), Calabacín (solo invernadero), Melón y sandía (solo aire libre), Pepino (aire libre e invernadero), Pimiento (aire libre e invernadero), Tomate (aire libre e invernadero), Vid (mesa y vinificación)"
REGULADORES DE CRECIMIENTO (7),B-NINE®,https://www.upl-ltd.com/es/Productos/b-nine,"Azalea, Crisantemo, Gardenia, Hortensia, Ornamentales herbáceas, Poinsettia, Viveros"
REGULADORES DE CRECIMIENTO (7),COTTON FIX,https://www.upl-ltd.com/es/Productos/cotton-fix,Algodón
REGULADORES DE CRECIMIENTO (7),FLORDIMEX®,https://www.upl-ltd.com/es/Productos/Flordimex-ReguladordeCrecimiento,"Manzano, Olivo, Uva de mesa"
REGULADORES DE CRECIMIENTO (7),ROYAL MH®-30,https://www.upl-ltd.com/es/Productos/royal-mh-30,"Cebolla, Tabaco"
REGULADORES DE CRECIMIENTO (7),TERBEL® MAX,https://www.upl-ltd.com/es/Productos/terbel-max,"Albaricoquero, Limonero, Mandarino, Manzano, Naranjo, Peral, Pomelo"
INSECTICIDAS (13),BARANDEL®,https://www.upl-ltd.com/es/Productos/barandel,"Arbustos frutales, Cítricos, Otros árboles"
INSECTICIDAS (13),CARPOVIRUSINA® EVO 2,https://www.upl-ltd.com/es/Productos/carpovirusina-evo-2-1,"Albaricoquero, Ciruelo, Manzano, Membrillero, Nashi, Nogal, Peral"
INSECTICIDAS (13),CORMITE®,https://www.upl-ltd.com/es/Productos/cormite,"Berenjena, Cucurbitáceas de piel comestible y piel no comestible, Fresal, Tomate, Uso sólo autorizado en invernadero"
INSECTICIDAS (13),CYTHRIN® 100 EC,https://www.upl-ltd.com/es/Productos/cythrin-100-ec,"Alcachofa, Alfalfa, Apionabo, Avena, Brécol, Calabaza, Cebada, Centeno, Chirivía, Coliflor, Colinabo, Colza, Escorzonera, Espelta, Guisantes, Judías verdes, Maíz, Melón, Mostaza, Nabo, Olivo, Ornamentales leñosas, Patata, Rábano, Remolacha azucarera, Remolacha de mesa, Remolacha forrajera, Repollo, Sandía, Trigo, Triticale, Vid, Zanahoria"
INSECTICIDAS (13),CYTHRIN® MAX,https://www.upl-ltd.com/es/Productos/cythrin-max,"Alcachofa, Alfalfa, Arbustos ornamentales, Cereales, Chopos, Colza, Cultivos arbóreos, Cultivos extensivos, Cultivos hortícolas, Cultivos ornamentales, Espárrago, Guisantes, Hortalizas del género brassica, Hortícolas, Judías, Maíz, Ornamentales herbáceas, Patata, Remolacha azucarera, Remolacha de mesa, Remolacha forrajera, Tabaco, Vid"
INSECTICIDAS (13),DELTAGRI®,https://www.upl-ltd.com/es/Productos/deltagri,"Ajo, Alcachofa, Alfalfa, Almendro, Apio, Arbustos ornamentales, Arbustos y árboles ornamentales, Avellano, Berenjena, Brassicas, Castaño, Cebada, Cebolla, Cereales de primavera e invierno, Cítricos, Colza, Cucurbitáceas, Espárrago, Fresal, Frutales de hueso, Frutales de pepita, Girasol, Guisantes, Lechuga, Leguminosas, Maíz, Nogal, Olivo, Ornamentales herbáceas, Patata, Perejil, Pimiento, Rábano, Rúcula, Tabaco, Tomate, Vid, Zanahoria"
INSECTICIDAS (13),LECISUM®,https://www.upl-ltd.com/es/Productos/lecisum,"Berenjena, Judías verdes, Pepino, Pimiento, Platanera, Tabaco, Tomate"
INSECTICIDAS (13),OMITE® TOP,https://www.upl-ltd.com/es/Productos/ovipron-top,"Bayas, Caqui, Cítricos, Frutales de cáscara, Frutales de hueso, Frutales de pepita, Kiwi, Vid"
INSECTICIDAS (13),OSTRINIL®,https://www.upl-ltd.com/es/Productos/ostrinil-1,Palmeras ornamentales
INSECTICIDAS (13),POLITHIOL®,https://www.upl-ltd.com/es/Productos/polithiol,"Albaricoquero, Almendro, Arándano, Avellano, Caqui, Castaño, Cerezo, Ciruelo, Frambuesa, Grosellas, Kiwi, Manzano, Mora, Nogal, Peral, Vid"
INSECTICIDAS (13),SHENZI®,https://www.upl-ltd.com/es/Productos/shenzi,"Aguacate, Albaricoquero, Algodón, Almendro, Batata, Berenjena, Boniato, Castaño, Ciruelo, Cítricos, Endrino, Granado, Maíz, Maíz de grano, Manzano, Melocotón, Membrillero, Níspero, Nogal, Patata, Peral, Pistacho, Tomate, Vid vinificación"
INSECTICIDAS (13),SINALA®,https://www.upl-ltd.com/es/Productos/sinala,"Acelgas, Achicoria, Aguacate, Ajo, Albaricoquero, Alcachofa, Almendro, Apio, Arándano, Arbustos y pequeños árboles ornamentales, Avellano, Batata, Berenjena, Berro, Berza, Boniato, Brécol, Brotes tiernos, Calabacín, Calabaza, Cáñamo, Canónigos, Caqui, Cebolleta, Cerezo, Chalotas, Chirivía, Ciruelo, Cítricos, Col china, Coles de Bruselas, Coliflor, Colirrábano, Coníferas, Crisantemo, Endrino, Escarola, Escorzonera, Espárrago, Espinacas, Frambuesa, Fresal, Frondosas, Granado, Guisantes verdes, Hierbas aromáticas y flores comestibles, Higuera, Judías verdes, Kiwi, Lechuga, Lima, Melocotón, Melón, Nabo, Nogal, Ornamentales, Ornamentales herbáceas, Palmáceas, Palmera datilera, Pepinillos, Pepino, Perejil, Pimiento, Pistacho, Plantaciones tropicales/subtropicales, Platanera, Puerro, Rábano, Remolacha de mesa, Rúcula, Salsify, Tabaco, Tomate, Toronja, Vid, Zanahoria"
ACONDICIONADORES DE SUELO (1),ZEBA®,https://www.upl-ltd.com/es/Productos/Zeba,"Acelgas, Achicoria, Ajo, Albahaca, Alcachofa, Apio, Berenjena, Berro, Brócoli, Calabacín, Calabaza, Cardo, Cebolla, Cereales, Césped, Chalotas, Chirivía, Col china, Coles de Bruselas, Coliflor, Colinabo, Colirrábano, Colza, Cubiertas vegetales, Endibia, Escarola, Espárrago, Espinacas, Estragón, Fresa, Frutales de hueso, pepita, cáscara, olivo y cítricos (de nueva plantación), Frutales de hueso, pepita, cáscara, olivo y cítricos (más de 2 años de edad), Girasol, Guisantes, Hinojo, Judías, Kale, Laurel, Lechuga, Lentejas, Maíz, Melón, Mezcla en sustrato, Nabo, Ornamentales, Patata, Pepinillos, Pepino, Perejil, Pimiento, Salsify, Tomate"
MICRONUTRIENTES Y FERTILIZANTES FOLIARES (4),ARY-AMIN C,https://www.upl-ltd.com/es/Productos/ary-amin-c,"Cereales, Colza, Patata, Remolacha azucarera"
MICRONUTRIENTES Y FERTILIZANTES FOLIARES (4),BY- ZYME,https://www.upl-ltd.com/es/Productos/by-zyme-1,"Arbustos frutales, Berenjena, Brassicas, Calabacín, Calabacín (solo invernadero), Calabaza, Cítricos, Fresal, Frutales de hueso, Frutales de pepita, Leguminosas, Olivo, Pimiento, Tomate, Vid (mesa y vinificación)"
MICRONUTRIENTES Y FERTILIZANTES FOLIARES (4),MANBO® WET,https://www.upl-ltd.com/es/Productos/manbo-wet,Todo tipo de culltivos
MICRONUTRIENTES Y FERTILIZANTES FOLIARES (4),VEGEPRON SUN,https://www.upl-ltd.com/es/Productos/vegepron-sun,"Ajo, Berenjena, Caqui, Cebolla, Cítricos, Granado, Manzano, Peral, Pimiento, Piña, Tomate, Tomate de industria, Tropicales (aguacate, mango, papaya, etc.)"
TRATAMIENTOS DE SEMILLAS (1),TANSIL® FS,https://www.upl-ltd.com/es/Productos/tansil,"Simiente de avena, Simiente de cebada, Simiente de centeno, Simiente de Trigo"
FISIOACTIVADORES (6),GOACTIV® CALCIUM,https://www.upl-ltd.com/es/Productos/goactiv-calcium,"Albaricoquero, Almendro, Ciruelo, Fresa y otras berries, Hortícolas, Manzano, Níspero, Olivo, Patata"
FISIOACTIVADORES (6),GOACTIV® CALIBRA,https://www.upl-ltd.com/es/Productos/goactiv-calibra,"Albaricoquero, Almendro, Arándano, Avellano, Berenjena, Calabacín, Cerezo, Ciruelo, Cítricos, Frambuesa, Fresal, Grosellas, Guisantes, Haba, Judías, Kiwi, Manzano, Melón, Nogal, Olivo, Pepino, Peral, Pimiento, Pistacho, Sandía, Tomate, Vid"
FISIOACTIVADORES (6),GOACTIV® COLOR,https://www.upl-ltd.com/es/Productos/goactiv-color,"Manzano, Pimiento, Tomate, Uva de mesa"
FISIOACTIVADORES (6),GOACTIV® PRO,https://www.upl-ltd.com/es/Productos/goactiv-pro,"Almendro, Brécol, Colza, Olivo"
FISIOACTIVADORES (6),GOACTIV® ROOT,https://www.upl-ltd.com/es/Productos/goactiv-root,"Cítricos, Fresal, Frutales, Hortícolas, Semilleros y viveros, Vid"
FISIOACTIVADORES (6),GOACTIV® SP,https://www.upl-ltd.com/es/Productos/goactiv-sp,"Ajo, Arándano, Calabacín, Cebolla, Cultivos de hoja, Fresal, Frutales, Melón, Pepino, Sandía, Solanáceas, Vid"
COADYUVANTES (1),ECOMIX®,https://www.upl-ltd.com/es/Productos/ecomix,Todas las especies vegetales
